series_id,date,value
CN_10Y_YIELD,2024-08-29,2.1703
CN_10Y_YIELD,2024-08-30,2.1704
CN_10Y_YIELD,2024-09-02,2.1457
CN_10Y_YIELD,2024-09-03,2.1432
CN_10Y_YIELD,2024-09-04,2.1336
CN_10Y_YIELD,2024-09-05,2.1338
CN_10Y_YIELD,2024-09-06,2.1388
CN_10Y_YIELD,2024-09-09,2.1267
CN_10Y_YIELD,2024-09-10,2.1143
CN_10Y_YIELD,2024-09-11,2.1044
CN_10Y_YIELD,2024-09-12,2.0998
CN_10Y_YIELD,2024-09-13,2.0724
CN_10Y_YIELD,2024-09-14,2.0425
CN_10Y_YIELD,2024-09-18,2.0403
CN_10Y_YIELD,2024-09-19,2.045
CN_10Y_YIELD,2024-09-20,2.0431
CN_10Y_YIELD,2024-09-23,2.0381
CN_10Y_YIELD,2024-09-24,2.0728
CN_10Y_YIELD,2024-09-25,2.0437
CN_10Y_YIELD,2024-09-26,2.0787
CN_10Y_YIELD,2024-09-27,2.1714
CN_10Y_YIELD,2024-09-29,2.2534
CN_10Y_YIELD,2024-09-30,2.1518
CN_10Y_YIELD,2024-10-08,2.1928
CN_10Y_YIELD,2024-10-09,2.176
CN_10Y_YIELD,2024-10-10,2.1441
CN_10Y_YIELD,2024-10-11,2.1392
CN_10Y_YIELD,2024-10-12,2.1441
CN_10Y_YIELD,2024-10-14,2.1368
CN_10Y_YIELD,2024-10-15,2.1254
CN_10Y_YIELD,2024-10-16,2.1331
CN_10Y_YIELD,2024-10-17,2.1084
CN_10Y_YIELD,2024-10-18,2.1209
CN_10Y_YIELD,2024-10-21,2.1211
CN_10Y_YIELD,2024-10-22,2.1458
CN_10Y_YIELD,2024-10-23,2.1559
CN_10Y_YIELD,2024-10-24,2.1661
CN_10Y_YIELD,2024-10-25,2.1539
CN_10Y_YIELD,2024-10-28,2.1617
CN_10Y_YIELD,2024-10-29,2.1598
CN_10Y_YIELD,2024-10-30,2.1597
CN_10Y_YIELD,2024-10-31,2.1476
CN_10Y_YIELD,2024-11-01,2.1406
CN_10Y_YIELD,2024-11-04,2.1275
CN_10Y_YIELD,2024-11-05,2.1106
CN_10Y_YIELD,2024-11-06,2.1234
CN_10Y_YIELD,2024-11-07,2.1115
CN_10Y_YIELD,2024-11-08,2.1067
CN_10Y_YIELD,2024-11-11,2.092
CN_10Y_YIELD,2024-11-12,2.0729
CN_10Y_YIELD,2024-11-13,2.0876
CN_10Y_YIELD,2024-11-14,2.0808
CN_10Y_YIELD,2024-11-15,2.0948
CN_10Y_YIELD,2024-11-18,2.1117
CN_10Y_YIELD,2024-11-19,2.0947
CN_10Y_YIELD,2024-11-20,2.1025
CN_10Y_YIELD,2024-11-21,2.0843
CN_10Y_YIELD,2024-11-22,2.0832
CN_10Y_YIELD,2024-11-25,2.0682
CN_10Y_YIELD,2024-11-26,2.0657
CN_10Y_YIELD,2024-11-27,2.0553
CN_10Y_YIELD,2024-11-28,2.0304
CN_10Y_YIELD,2024-11-29,2.0206
CN_10Y_YIELD,2024-12-02,1.981
CN_10Y_YIELD,2024-12-03,1.9886
CN_10Y_YIELD,2024-12-04,1.9612
CN_10Y_YIELD,2024-12-05,1.9462
CN_10Y_YIELD,2024-12-06,1.9539
CN_10Y_YIELD,2024-12-09,1.9168
CN_10Y_YIELD,2024-12-10,1.8468
CN_10Y_YIELD,2024-12-11,1.8218
CN_10Y_YIELD,2024-12-12,1.8172
CN_10Y_YIELD,2024-12-13,1.7771
CN_10Y_YIELD,2024-12-16,1.7215
CN_10Y_YIELD,2024-12-17,1.7237
CN_10Y_YIELD,2024-12-18,1.7564
CN_10Y_YIELD,2024-12-19,1.7417
CN_10Y_YIELD,2024-12-20,1.7018
CN_10Y_YIELD,2024-12-23,1.7019
CN_10Y_YIELD,2024-12-24,1.7166
CN_10Y_YIELD,2024-12-25,1.7365
CN_10Y_YIELD,2024-12-26,1.7122
CN_10Y_YIELD,2024-12-27,1.6929
CN_10Y_YIELD,2024-12-30,1.7128
CN_10Y_YIELD,2024-12-31,1.6752
CN_10Y_YIELD,2025-01-02,1.6077
CN_10Y_YIELD,2025-01-03,1.6041
CN_10Y_YIELD,2025-01-06,1.5966
CN_10Y_YIELD,2025-01-07,1.6093
CN_10Y_YIELD,2025-01-08,1.6069
CN_10Y_YIELD,2025-01-09,1.6368
CN_10Y_YIELD,2025-01-10,1.6338
CN_10Y_YIELD,2025-01-13,1.6592
CN_10Y_YIELD,2025-01-14,1.6446
CN_10Y_YIELD,2025-01-15,1.633
CN_10Y_YIELD,2025-01-16,1.6394
CN_10Y_YIELD,2025-01-17,1.6593
CN_10Y_YIELD,2025-01-20,1.6747
CN_10Y_YIELD,2025-01-21,1.6496
CN_10Y_YIELD,2025-01-22,1.6602
CN_10Y_YIELD,2025-01-23,1.6645
CN_10Y_YIELD,2025-01-24,1.6565
CN_10Y_YIELD,2025-01-26,1.6537
CN_10Y_YIELD,2025-01-27,1.6299
CN_10Y_YIELD,2025-02-05,1.6207
CN_10Y_YIELD,2025-02-06,1.5958
CN_10Y_YIELD,2025-02-07,1.6032
CN_10Y_YIELD,2025-02-08,1.6057
CN_10Y_YIELD,2025-02-10,1.6342
CN_10Y_YIELD,2025-02-11,1.6274
CN_10Y_YIELD,2025-02-12,1.6336
CN_10Y_YIELD,2025-02-13,1.6346
CN_10Y_YIELD,2025-02-14,1.6546
CN_10Y_YIELD,2025-02-17,1.6934
CN_10Y_YIELD,2025-02-18,1.7006
CN_10Y_YIELD,2025-02-19,1.6626
